Country,Much worse,Somewhat worse,Almost the same,Somewhat better,Much better
Algeria,0.020,0.042,0.280,0.381,0.277
Egypt,0.334,0.286,0.132,0.178,0.070
Iraq,0.039,0.095,0.306,0.410,0.151
Jordan,0.130,0.203,0.220,0.354,0.092
Kuwait,0.007,0.012,0.194,0.284,0.503
Lebanon,0.564,0.156,0.140,0.115,0.026
Libya,0.065,0.077,0.174,0.306,0.378
Morocco,0.079,0.109,0.288,0.376,0.149
Palestine,0.179,0.196,0.283,0.270,0.072
Sudan,0.216,0.163,0.259,0.242,0.119
Tunisia,0.103,0.177,0.140,0.449,0.131
Yemen,0.155,0.110,0.200,0.338,0.197